"They are: Thick, discolored discharge from the nose or drainage down the back of the throat (postnasal drainage) Nasal obstruction or congestion, causing difficulty breathing through your nose Pain, tenderness and swelling around your eyes, cheeks, nose or forehead Reduced sense of smell and taste in adults or cough in children Other signs and symptoms can include: Ear pain Aching in your upper jaw and teeth Cough that might worsen at night Sore throat Bad breath (halitosis) Fatigue or irritability Nausea Chronic sinusitis and acute sinusitis have similar signs and symptoms, but acute sinusitis is a temporary infection of the sinuses often associated with a cold",Chronic sinusitis
"The signs and symptoms of chronic sinusitis last longer and often cause more fatigue",Chronic sinusitis
"Fever isn't a common sign of chronic sinusitis, but you might have one with acute sinusitis",Chronic sinusitis
"You may be referred to an allergist or an ear, nose and throat specialist for evaluation and treatment",Chronic sinusitis
"These tissue growths can block the nasal passages or sinuses",Chronic sinusitis
"Deviated nasal septum",Chronic sinusitis
"A crooked septum — the wall between the nostrils — may restrict or block sinus passages",Chronic sinusitis
"Other medical conditions",Chronic sinusitis
"The complications of cystic fibrosis, gastroesophageal reflux, or HIV and other immune system-related diseases can result in nasal blockage",Chronic sinusitis
"Respiratory tract infections",Chronic sinusitis
"Infections in your respiratory tract — most commonly colds — can inflame and thicken your sinus membranes and block mucus drainage",Chronic sinusitis
"These infections can be viral, bacterial or fungal",Chronic sinusitis
"Allergies such as hay fever",Chronic sinusitis
"Inflammation that occurs with allergies can block your sinuses",Chronic sinusitis
"Because a number of conditions can cause similar symptoms, it's important to get a prompt and accurate diagnosis",Exercise-induced asthma
"Get emergency medical treatment if you have worsening symptoms: Shortness of breath or wheezing that is quickly getting worse No improvement even after using a prescription inhaler for asthma attacks  ",Exercise-induced asthma
"Early illness Once signs and symptoms do appear, you're likely to experience: Fever that starts low and increases daily, possibly reaching as high as 104",Typhoid fever
"9 F (40",Typhoid fever
"5 C) Headache Weakness and fatigue Muscle aches Sweating Dry cough Loss of appetite and weight loss Abdominal pain Diarrhea or constipation Rash Extremely swollen abdomen Later illness If you don't receive treatment, you may: Become delirious Lie motionless and exhausted with your eyes half-closed in what's known as the typhoid state In addition, life-threatening complications often develop at this time",Typhoid fever
"In some people, signs and symptoms may return up to two weeks after the fever has subsided",Typhoid fever
"If you become ill while traveling in a foreign country, call the U",Typhoid fever
"Consulate for a list of doctors",Typhoid fever
"Better yet, find out in advance about medical care in the areas you'll visit, and carry a list of the names, addresses and phone numbers of recommended doctors",Typhoid fever
"If you develop signs and symptoms after you return home, consider consulting a doctor who focuses on international travel medicine or infectious diseases",Typhoid fever
"A specialist may be able to recognize and treat your illness more quickly than can a doctor who isn't familiar with these areas",Typhoid fever
"Based on your injuries and the situation in which the exposure occurred, you and your doctor can decide whether you should receive treatment to prevent rabies",Rabies
"Even if you aren't sure whether you've been bitten, seek medical attention",Rabies
"For instance, a bat that flies into your room while you're sleeping may bite you without waking you",Rabies
"If you awake to find a bat in your room, assume you've been bitten",Rabies
"Also, if you find a bat near a person who can't report a bite, such as a small child or a person with a disability, assume that person has been bitten",Rabies
"The virus is spread through the saliva of infected animals",Rabies
"Infected animals can spread the virus by biting another animal or a person",Rabies
"In rare cases, rabies can be spread when infected saliva gets into an open wound or the mucous membranes, such as the mouth or eyes",Rabies
"This could occur if an infected animal were to lick an open cut on your skin",Rabies
"Animals that can transmit the rabies virus Any mammal (an animal that suckles its young) can transmit the rabies virus",Rabies
"The animals most likely to transmit the rabies virus to people include: Pets and farm animals Cats Cows Dogs Ferrets Goats Horses Wild animals Bats Beavers Coyotes Foxes Monkeys Raccoons Skunks Woodchucks In rare cases, the virus has been transmitted to tissue and organ transplant recipients from an infected organ",Rabies
"You can have few symptoms or several, and symptoms can change during the course of the disease",Rheumatic fever
"The onset of rheumatic fever usually occurs about two to four weeks after a strep throat infection",Rheumatic fever
"Rheumatic fever signs and symptoms — which result from inflammation in the heart, joints, skin or central nervous system — can include: Fever Painful and tender joints — most often in the knees, ankles, elbows and wrists Pain in one joint that migrates to another joint Red, hot or swollen joints Small, painless bumps (nodules) beneath the skin Chest pain Heart murmur Fatigue Flat or slightly raised, painless rash with a ragged edge (erythema marginatum) Jerky, uncontrollable body movements (Sydenham chorea, or St",Rheumatic fever
"Proper treatment of strep can prevent rheumatic fever",Rheumatic fever
"Also, have your child see a doctor if he or she shows other indications of rheumatic fever",Rheumatic fever
"Group A streptococcus infections of the throat cause strep throat or, less commonly, scarlet fever",Rheumatic fever
"Group A streptococcus infections of the skin or other parts of the body rarely trigger rheumatic fever",Rheumatic fever
"The link between strep infection and rheumatic fever isn't clear, but it appears that the bacterium tricks the immune system",Rheumatic fever
"The strep bacterium contains a protein similar to one found in certain tissues of the body",Rheumatic fever
"So immune system cells that would normally target the bacterium may treat the body's own tissues as if they were infectious agents — particularly tissues of the heart, joints, skin and central nervous system",Rheumatic fever
"This immune system reaction results in inflammation",Rheumatic fever
"If your child receives prompt treatment with an antibiotic to eliminate strep bacteria and takes all medication as prescribed, there's little chance of developing rheumatic fever",Rheumatic fever
"If your child has one or more episodes of strep throat or scarlet fever that aren't treated or not treated completely, he or she might develop rheumatic fever",Rheumatic fever
"Some people carry a gene or genes that might make them more likely to develop rheumatic fever",Rheumatic fever
"Type of strep bacteria",Rheumatic fever
"Certain strains of strep bacteria are more likely to contribute to rheumatic fever than are other strains",Rheumatic fever
"Environmental factors",Rheumatic fever
"A greater risk of rheumatic fever is associated with overcrowding, poor sanitation and other conditions that can easily result in the rapid transmission or multiple exposures to strep bacteria",Rheumatic fever
"In some cases, the inflammation causes long-term complications",Rheumatic fever
"Rheumatic heart disease is permanent damage to the heart caused by rheumatic fever",Rheumatic fever
"It usually occurs 10 to 20 years after the original illness",Rheumatic fever
"Problems are most common with the valve between the two left chambers of the heart (mitral valve), but the other valves can be affected",Rheumatic fever
"The damage can result in: Valve stenosis",Rheumatic fever
"This narrowing of the valve decreases blood flow",Rheumatic fever
"Valve regurgitation",Rheumatic fever
"This leak in the valve allows blood to flow in the wrong direction",Rheumatic fever
"Damage to heart muscle",Rheumatic fever
"The inflammation associated with rheumatic fever can weaken the heart muscle, affecting its ability to pump",Rheumatic fever
"Damage to the mitral valve, other heart valves or other heart tissues can cause problems with the heart later in life",Rheumatic fever
"Resulting conditions can include:",Rheumatic fever
"Note when your signs and symptoms begin, because the length of time they have been present may guide your treatment decisions: Trouble with speaking and understanding",Stroke
"You may experience confusion",Stroke
"You may slur your words or have difficulty understanding speech",Stroke
"Paralysis or numbness of the face, arm or leg",Stroke
"You may develop sudden numbness, weakness or paralysis in your face, arm or leg, especially on one side of your body",Stroke
"Try to raise both your arms over your head at the same time",Stroke
"If one arm begins to fall, you may be having a stroke",Stroke
"Similarly, one side of your mouth may droop when you try to smile",Stroke
"Trouble with seeing in one or both eyes",Stroke
"You may suddenly have blurred or blackened vision in one or both eyes, or you may see double",Stroke
"Headache",Stroke
"A sudden, severe headache, which may be accompanied by vomiting, dizziness or altered consciousness, may indicate you're having a stroke",Stroke
"Trouble with walking",Stroke
"You may stumble or experience sudden dizziness, loss of balance or loss of coordination",Stroke
"Think FAST and do the following: Face",Stroke
"Ask the person to smile",Stroke
"Does one side of the face droop? Ask the person to smile",Stroke
"Does one side of the face droop? Arms",Stroke
"Ask the person to raise both arms",Stroke
"Does one arm drift downward? Or is one arm unable to raise up? Ask the person to raise both arms",Stroke
"Does one arm drift downward? Or is one arm unable to raise up? Speech",Stroke
"Ask the person to repeat a simple phrase",Stroke
"Is his or her speech slurred or strange? Ask the person to repeat a simple phrase",Stroke
"Is his or her speech slurred or strange? Time",Stroke
"If you observe any of these signs, call 911 immediately",Stroke
"Call 911 or your local emergency number right away",Stroke
"Don't wait to see if symptoms go away",Stroke
"Every minute counts",Stroke
"The longer a stroke goes untreated, the greater the potential for brain damage and disability",Stroke
"If you're with someone you suspect is having a stroke, watch the person carefully while waiting for emergency assistance",Stroke
"This deprives your brain of oxygen and nutrients, which can cause your brain cells to die",Stroke
"A stroke may be caused by a blocked artery (ischemic stroke) or the leaking or bursting of a blood vessel (hemorrhagic stroke)",Stroke
